"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1978",1978,"ZMB","Zambia","Lusaka","Chongwe","Chongwe, Zambia",-15.332826,28.678979,"ZMB1978",69571927.0976562
"1979",1979,"ZMB","Zambia","Lusaka","Kafue","Kafue, Zambia",-15.7643589,28.1766294,"ZMB1979",47156383.2578125
"1980",1980,"ZMB","Zambia","Lusaka","Luangwa","Luangwa, Zambia",-15.6264925,30.4040725,"ZMB1980",12673446.7412109
"1981",1981,"ZMB","Zambia","Lusaka","Lusaka","Lusaka, Zambia",-15.3875259,28.3228165,"ZMB1981",1771540211.375
"1982",1982,"ZMB","Zambia","Lusaka","Lusaka Rural","Lusaka Rural, Zambia",-15.3875259,28.3228165,"ZMB1982",1771540211.375
"1983",1983,"ZMB","Zambia","Lusaka","Lusaka Urban","Lusaka Urban, Zambia",-15.4260351,28.279495,"ZMB1983",1790824457
"1984",1984,"ZMB","Zambia","North-Western","Chavuma","Chavuma, Zambia",-13.0829658,22.6883969,"ZMB1984",8860050.38525391
"1985",1985,"ZMB","Zambia","North-Western","Kabompo","Kabompo, Zambia",-13.5940691,24.200412,"ZMB1985",8159575.18261719
"1986",1986,"ZMB","Zambia","North-Western","Kasempa","Kasempa, Zambia",-13.4554581,25.8344308,"ZMB1986",4528116.64501953
"1987",1987,"ZMB","Zambia","North-Western","Mufumbwe","Mufumbwe, Zambia",-13.683333,24.8,"ZMB1987",4242399.85058594
"1988",1988,"ZMB","Zambia","North-Western","Mwinilunga","Mwinilunga, Zambia",-11.7401439,24.4232735,"ZMB1988",7451729.77001953
"1989",1989,"ZMB","Zambia","North-Western","Solwezi","Solwezi, Zambia",-12.1668712,26.3839765,"ZMB1989",47115945.9179688
"1990",1990,"ZMB","Zambia","North-Western","Zambezi","Zambezi, Zambia",-13.5432786,23.1143753,"ZMB1990",7776158.73388672
"1991",1991,"ZMB","Zambia","Northern","Chilubi","Chilubi, Zambia",-11.0278773,30.2512728,"ZMB1991",31044200.4726562
"1992",1992,"ZMB","Zambia","Northern","Chinsali","Chinsali, Zambia",-10.5371492,32.0723816,"ZMB1992",20197668.2851562
